Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604291457,192.168.0.178,54619,137.110.0.70,443,17,2562,1864,4,3,1604291457884;1604291457884;1604291457884;1604291457982;1604291457985;1604291457985;1604291457986;,1366;837;241;118;1366;380;118;,1;1;1;2;2;2;1;
1604291458,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604291458052;,201;,1;
1604291458,192.168.0.178,54619,137.110.0.70,443,17,3692,3070,11,10,1604291458064;1604291458064;1604291458064;1604291458151;1604291458155;1604291458155;1604291458156;1604291458238;1604291458238;1604291458258;1604291458258;1604291458259;1604291458259;1604291458286;1604291458286;1604291458286;1604291458286;1604291458286;1604291458286;1604291458287;1604291458316;,1366;839;241;118;1366;376;118;222;177;138;138;177;138;230;212;177;138;138;138;177;138;,1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;1;1;1;1;2;
1604291458,192.168.0.241,5353,224.0.0.251,5353,17,125,0,1,0,1604291458360;,125;,1;
1604291458,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,145,0,1,0,1604291458360;,145;,1;
1604291458,192.168.0.246,5353,224.0.0.251,5353,17,75,0,1,0,1604291458462;,75;,1;
1604291458,192.168.0.178,54370,31.13.70.1,443,6,0,116,0,1,1604291458979;,116;,2;
1604291459,192.168.0.178,54619,137.110.0.70,443,17,3779,3496,23,20,1604291459138;1604291459138;1604291459139;1604291459139;1604291459139;1604291459159;1604291459165;1604291459165;1604291459165;1604291459165;1604291459165;1604291459165;1604291459166;1604291459166;1604291459191;1604291459191;1604291459191;1604291459191;1604291459191;1604291459192;1604291459192;1604291459192;1604291459192;1604291459244;1604291459266;1604291459266;1604291459266;1604291459266;1604291459267;1604291459267;1604291459267;1604291459267;1604291459267;1604291459320;1604291459382;1604291459382;1604291459382;1604291459473;1604291459473;1604291459473;1604291459474;1604291459474;1604291459474;,226;177;424;177;297;138;138;177;138;138;138;138;177;138;206;212;169;177;138;138;138;138;177;138;204;387;266;177;138;138;138;138;177;138;130;130;130;126;126;126;118;118;118;,1;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;
1604291460,192.168.0.178,54619,137.110.0.70,443,17,3054,1886,8,8,1604291460296;1604291460296;1604291460296;1604291460319;1604291460325;1604291460326;1604291460392;1604291460392;1604291460392;1604291460392;1604291460392;1604291460393;1604291460393;1604291460393;1604291460394;1604291460418;,380;1366;579;138;138;138;524;403;138;138;230;138;177;138;177;138;,1;1;1;2;2;2;2;2;1;1;2;1;2;1;1;2;
1604291460,192.168.0.178,54390,3.80.20.190,443,6,0,402,0,1,1604291460324;,402;,2;
1604291460,192.168.0.178,54138,192.168.0.241,57213,6,0,64,0,1,1604291460581;,64;,2;
1604291461,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604291461125;,201;,1;
1604291461,192.168.0.178,54619,137.110.0.70,443,17,5129,1114,11,4,1604291461501;1604291461501;1604291461524;1604291461530;1604291461548;1604291461548;1604291461548;1604291461565;1604291461592;1604291461592;1604291461594;1604291461618;1604291461632;1604291461720;1604291461808;,123;123;394;406;1362;204;582;165;1362;204;156;158;257;582;165;,1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;
